"6317960040684108905"  ,"Hoi ich fräg mich scho lang was ich für en dialekt rede :)" ,"zh"
"-1983315313199072741" ,"äuä"                                                        ,"be"
"-5520349806850413033" ,"Ich gange uf züri"                                          ,"zh"
"-5285488276829552849", "Cha d text erst am mittag lesu aber wier brüche hittu alli infos.", "vs"
"4988252230220427097", "a de hani dänkt aber weni äuä dun ungerschriibe müesse ig din gfaue no frage.", "be"
"-1978357643229081513", "i ha di gärn", "be"
"1921905555515554175", "ich ha gern züg", "zg"
"-2555595183078540502", "ig bi gäng no hie", "be"
"3382000629785551713", "Hoi :)", "zh"
"-1207994301780549814", "Salut ig chume vo bärn", "be"
"2730264618733530841", "Wie gohts dir?", "be"
